Vegan,Range 1,Monday,Vegan Meal plan,Breakfast- Mix peanut butter with 1 tsp. warm water (or more as needed to thin out the peanut butter). Drizzle over pancakes.,vegan_range1_mon_break
Vegan,Range 1,Monday,Vegan Meal plan,Lunch-1 serving white bean Avocado Toast  1 cup sliced cucumber,vegan_range1_mon_lunch
Vegan,Range 1,Monday,Vegan Meal plan,Dinner- 1 serving falafel salad with lemon-tahini dressing,vegan_range1_mon_dinner
Vegan,Range 1,Tuesday,Vegan Meal plan,Breakfast- 1 serving Peanut butter & Chia Berry Jam English Muffin,vegan_range1_tues_break
Vegan,Range 1,Tuesday,Vegan Meal plan,Lunch- 4 cups White Bean & veggie Salad ,vegan_range1_tues_lunch
Vegan,Range 1,Tuesday,Vegan Meal plan,Dinner- 2 cups black-bean Quinoa Buddha Bowl,vegan_range1_tues_dinner
Vegan,Range 1,Wednesday,Vegan Meal plan,Breakfast- 1 serving peanut butter banana toast,vegan_range1_wed_break
Vegan,Range 1,Wednesday,Vegan Meal plan,Lunch- 4 cups serving Green Salad with Edamame & Beets,vegan_range1_wed_lunch
Vegan,Range 1,Wednesday,Vegan Meal plan,Dinner- 1 1/2 cups Roasted Cauliflower & Potato Curry Soup  1/2 small whole-wheat pita  toasted  1/3 cup hummus,vegan_range1_wed_dinner
Vegan,Range 1,Thursday,Vegan Meal plan,Breakfast- 1 serving peanut butter banana toast,vegan_range1_thurs_break
Vegan,Range 1,Thursday,Vegan Meal plan,Lunch- 4 cups serving Green Salad with Edamame & Beets,vegan_range1_thurs_lunch
Vegan,Range 1,Thursday,Vegan Meal plan,Dinner- 1 cup Chickpea Curry  1 cup Basic Quinoa,vegan_range1_thurs_dinner
Vegan,Range 1,Friday,Vegan Meal plan,Breakfast- Mix peanut butter with 1 tsp. warm water (or more  as needed  to thin out the peanut butter). Drizzle over pancakes. ,vegan_range1_fri_break
Vegan,Range 1,Friday,Vegan Meal plan,Lunch-1 serving Veggie & Hummus Sandwich ,vegan_range1_fri_lunch
Vegan,Range 1,Friday,Vegan Meal plan,Dinner- 1 cup Chickpea Curry  1 cup Basic Quinoa,vegan_range1_fri_dinner
Vegan,Range 2,Monday,Vegan Diet plan,Breakfast- Mix peanut butter with 1 tsp. warm water (or more  as needed  to thin out the peanut butter). Drizzle over pancakes.,vegan_range2_mon_break
Vegan,Range 2,Monday,Vegan Diet plan,Lunch-1 serving white bean Avocado Toast  1 cup sliced cucumber,vegan_range2_mon_lunch
Vegan,Range 2,Monday,Vegan Diet plan,Dinner- 1 serving falafel salad with lemon-tahini dressing,vegan_range2_mon_dinner
Vegan,Range 2,Tuesday,Vegan Diet plan,Breakfast- 1 serving peanut butter banana toast,vegan_range2_tues_break
Vegan,Range 2,Tuesday,Vegan Diet plan,Lunch- 4 cups serving Green Salad with Edamame & Beets,vegan_range2_tues_lunch
Vegan,Range 2,Tuesday,Vegan Diet plan,Dinner- 1 1/2 cups Roasted Cauliflower & Potato Curry Soup  1/2 small whole-wheat pita  toasted  1/3 cup hummus,vegan_range2_tues_dinner
Vegan,Range 2,Wednesday,Vegan Diet plan,Breakfast- Mix peanut butter with 1 tsp. warm water (or more  as needed  to thin out the peanut butter). Drizzle over pancakes.,vegan_range2_wed_break
Vegan,Range 2,Wednesday,Vegan Diet plan,Lunch-1 serving white bean Avocado Toast  1 cup sliced cucumber,vegan_range2_wed_lunch
Vegan,Range 2,Wednesday,Vegan Diet plan,Dinner- 1 serving falafel salad with lemon-tahini dressing,vegan_range2_wed_dinner
Vegan,Range 2,Thursday,Vegan Diet plan,Breakfast- Mix peanut butter with 1 tsp. warm water (or more  as needed  to thin out the peanut butter). Drizzle over pancakes. ,vegan_range2_thurs_break
Vegan,Range 2,Thursday,Vegan Diet plan,Lunch-1 serving Veggie & Hummus Sandwich ,vegan_range2_thurs_lunch
Vegan,Range 2,Thursday,Vegan Diet plan,Dinner- 1 cup Chickpea Curry  1 cup Basic Quinoa,vegan_range2_thurs_dinner
Vegan,Range 2,Friday,Vegan Diet plan,Breakfast- 1 serving peanut butter banana toast,vegan_range2_fri_break
Vegan,Range 2,Friday,Vegan Diet plan,Lunch- 4 cups serving Green Salad with Edamame & Beets,vegan_range2_fri_lunch
Vegan,Range 2,Friday,Vegan Diet plan,Dinner- 1 1/2 cups Roasted Cauliflower & Potato Curry Soup  1/2 small whole-wheat pita  toasted  1/3 cup hummus,vegan_range2_fri_dinner
Vegan,Range 3,Monday,Vegan Sample menu,Breakfast- 1 serving peanut butter banana toast,vegan_range3_mon_break
Vegan,Range 3,Monday,Vegan Sample menu,Lunch- 4 cups serving Green Salad with Edamame & Beets,vegan_range3_mon_lunch
Vegan,Range 3,Monday,Vegan Sample menu,Dinner- 1 cup Chickpea Curry  1 cup Basic Quinoa,vegan_range3_mon_dinner
Vegan,Range 3,Tuesday,Vegan Sample menu,Breakfast- Mix peanut butter with 1 tsp. warm water (or more  as needed  to thin out the peanut butter). Drizzle over pancakes. ,vegan_range3_tues_break
Vegan,Range 3,Tuesday,Vegan Sample menu,Lunch-1 serving Veggie & Hummus Sandwich ,vegan_range3_tues_lunch
Vegan,Range 3,Tuesday,Vegan Sample menu,Dinner- 1 cup Chickpea Curry  1 cup Basic Quinoa,vegan_range3_tues_dinner
Vegan,Range 3,Wednesday,Vegan Sample menu,Breakfast- Mix peanut butter with 1 tsp. warm water (or more  as needed  to thin out the peanut butter). Drizzle over pancakes.,vegan_range3_wed_break
Vegan,Range 3,Wednesday,Vegan Sample menu,Lunch-1 serving white bean Avocado Toast  1 cup sliced cucumber,vegan_range3_wed_lunch
